suite,engine,query_name,median_s,n_success
tpcds,monetdb,query_54.sql,13.549500,10
tpcds,monetdb,query_55.sql,19.312500,10
tpcds,monetdb,query_56.sql,0.165500,10
tpcds,monetdb,query_57.sql,0.435000,10
tpcds,monetdb,query_58.sql,2.666000,10
tpcds,monetdb,query_59.sql,0.219000,10
tpcds,monetdb,query_60.sql,0.461000,10
tpcds,monetdb,query_61.sql,0.208000,10
tpcds,monetdb,query_62.sql,0.024000,10
tpcds,monetdb,query_63.sql,1.060500,10
tpcds,monetdb,query_64.sql,0.135500,10
tpcds,monetdb,query_65.sql,0.261000,10
tpcds,monetdb,query_66.sql,0.420500,10
tpcds,monetdb,query_67.sql,0.337500,10
tpcds,monetdb,query_68.sql,90.980000,10
tpcds,monetdb,query_69.sql,35.145000,10
tpcds,monetdb,query_70.sql,0.708500,10
tpcds,monetdb,query_71.sql,10.467500,10
tpcds,monetdb,query_72.sql,0.483500,10
tpcds,monetdb,query_73.sql,0.277500,10
tpcds,monetdb,query_74.sql,0.579000,10
tpcds,monetdb,query_75.sql,0.277000,10
tpcds,monetdb,query_76.sql,42.313000,10
tpcds,monetdb,query_77.sql,15.126500,10
tpcds,monetdb,query_78.sql,3.825000,10
tpcds,monetdb,query_79.sql,0.088500,10
tpcds,monetdb,query_80.sql,0.072000,10
tpcds,monetdb,query_81.sql,1.238500,10
tpcds,monetdb,query_82.sql,0.219000,10
tpcds,monetdb,query_83.sql,0.143000,10
tpcds,monetdb,query_84.sql,5.089500,10
tpcds,monetdb,query_85.sql,0.149000,10
tpcds,monetdb,query_86.sql,1.379500,10
tpcds,monetdb,query_87.sql,2.895000,10
tpcds,monetdb,query_88.sql,0.172000,10
tpcds,monetdb,query_89.sql,0.470000,10
tpcds,monetdb,query_90.sql,3.149500,10
tpcds,monetdb,query_91.sql,0.566500,10
tpcds,monetdb,query_92.sql,0.303500,10
tpcds,monetdb,query_93.sql,38.264500,10
tpcds,monetdb,query_94.sql,3.357000,10
tpcds,monetdb,query_95.sql,0.176000,10
tpcds,monetdb,query_96.sql,0.614000,10
tpcds,monetdb,query_97.sql,0.301500,10
